ID,SMILES,Monoisotopic_Mass,InChI_Key
C00157,*C(=O)O,,
C00158,CCC(=O)O,74.036779432,XBDQKXXYIPTUBI-UHFFFAOYSA-N
C00159,CC(=O)CC(=O)O,102.031694052,WDJHALXBUFZDSR-UHFFFAOYSA-N
C00160,*C(=O)OCC(CO)OC(*)=O,,
C00161,O=C(O)C(=O)Cc1ccccc1,164.04734411599998,BTNMPGBKDVTSJY-UHFFFAOYSA-N
C00162,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,580.034285124,HDYANYHVCAPMJV-LXQIFKJMSA-N
C00163,O=C(O)C(=O)CO,104.010958608,HHDDCCUIIUWNGJ-UHFFFAOYSA-N
C00164,NC(=O)OP(=O)(O)O,140.982708858,FFQKYPRQEYGKAF-UHFFFAOYSA-N
C00165,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,297.08956034,WUUGFSXJNOTRMR-IOSLPCCCSA-N
C00166,*[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,,
C00167,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,,
C00168,*CCC(=O)S*,,
C00169,[Co+2],58.93209784018,XLJKHNWPARRRJB-UHFFFAOYSA-N
C00170,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,,
C00171,[C-]#N,26.00362257991,XFXPMWWXUTWYJX-UHFFFAOYSA-N
C00172,Cc1c[nH]c(=O)[nH]c1=O,126.042927432,RWQNBRDOKXIBIV-UHFFFAOYSA-N
C00173,N=C(N)NCCCCN,130.12184644799999,QYPPJABKJHAVHS-UHFFFAOYSA-N
C00174,O=C(O)c1ccccc1,122.036779432,WPYMKLBDIGXBTP-UHFFFAOYSA-N
C00175,OC1OC[C@@H](O)[C@H](O)[C@H]1O,150.05282342,SRBFZHDQGSBBOR-IOVATXLUSA-N
C00176,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,666.2218583639999,BYSGBSNPRWKUQH-UJDJLXLFSA-N
C00177,CC(C)[C@H](N)C(=O)O,117.078978592,KZSNJWFQEVHDMF-BYPYZUCNSA-N
C00178,O=C(CO)CO,90.031694052,RXKJFZQQPQGTFL-UHFFFAOYSA-N
C00179,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,342.11621152399994,GUBGYTABKSRVRQ-CUHNMECISA-N
C00180,C[C@H](O)C(=O)O,90.031694052,JVTAAEKCZFNVCJ-REOHCLBHSA-N
